movie_title,year,director,stars,rating
Kaze no tani no Naushika,1984,Hayao Miyazaki,"Sumi Shimamoto, Mahito Tsujimura",8.030408550069144
Drishyam,2013,Jeethu Joseph,"Mohanlal, Meena",8.029973023745594
Before Sunset,2004,Richard Linklater,"Ethan Hawke, Julie Delpy",8.028906865522606
It Happened One Night,1934,Frank Capra,"Clark Gable, Claudette Colbert",8.028582918158135
Miracle in Cell No 7,2019,Mehmet Ada Öztekin,"Aras Bulut Iynemli, Nisa Sofiya Aksongur",8.02711045184671
Andrei Rublev,1966,Andrei Tarkovsky,"Anatoliy Solonitsyn, Ivan Lapikov",8.026222729219173
La battaglia di Algeri,1966,Gillo Pontecorvo,"Brahim Hadjadj, Jean Martin",8.025902697271391
Le notti di Cabiria,1957,Federico Fellini,"Giulietta Masina, François Périer",8.02584192277759
Fanny och Alexander,1982,Ingmar Bergman,"Bertil Guve, Pernilla Allwin",8.025746021719016
Hera Pheri,2000,Priyadarshan,"Akshay Kumar, Suniel Shetty",8.025625520772177
